,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
8001,2018 Datsun RediGO AMT 1.0 T Option,3864,2018,999,Third Party,16178,First Owner,Petrol,5,225,Hatchback,Hyderabad,1,0
8002,2019 Maruti Vitara Brezza ZDi Plus AMT,11520,2020,1248,Comprehensive,72577,First Owner,Diesel,5,243,SUV,Hyderabad,1,0
8003,2021 Hyundai i20 Sportz BSVI,9935,2021,1197,Third Party,97621,First Owner,Petrol,5,21,Hatchback,Hyderabad,0,1
8004,2011 Maruti Swift LXI,3996,2011,1197,Comprehensive,75932,Second Owner,Petrol,5,2238,Hatchback,Hyderabad,0,1
8005,2013 Maruti Swift VXI,4919,2013,1197,Third Party,80000,First Owner,Petrol,5,186,Hatchback,Hyderabad,0,1
8006,2020 Hyundai Grand i10 Nios Sportz,7188,2020,1197,Third Party,40000,First Owner,Petrol,5,207,Hatchback,Hyderabad,0,1
8007,2008 Hyundai Getz 1.3 GLS,1800,2008,1341,Third Party,90000,Second Owner,Petrol,5,142,Hatchback,Hyderabad,0,1
8008,2022 Maruti Wagon R VXI BSVI,6959,2022,998,Third Party,30000,First Owner,Petrol,5,2435,Hatchback,Hyderabad,0,1
8009,2018 Skoda Rapid 1.6 MPI AT Style BSIV,10320,2018,1598,Third Party,80000,First Owner,Petrol,5,1484,Sedan,Hyderabad,1,0
8010,2016 Maruti Ertiga SHVS VDI,9480,2016,1248,Third Party,70000,Second Owner,Diesel,7,2452,MUV,Hyderabad,0,1
8011,2012 Maruti Wagon R LXI CNG,3120,2012,998,Third Party,80000,Second Owner,CNG,5,262,Hatchback,Hyderabad,0,1
8012,2016 Tata Indica V2 LS,1200,2016,1396,Third Party,120000,Second Owner,Diesel,5,25,Hatchback,Hyderabad,0,1
8013,2019 Maruti Swift Dzire AMT ZXI,8916,2019,1197,Comprehensive,54123,First Owner,Petrol,5,2121,Sedan,Hyderabad,1,0
8014,2020 Ford Ecosport 1.5 Diesel Titanium BSIV,10884,2020,1498,Third Party,47654,Second Owner,Diesel,5,23,SUV,Hyderabad,0,1
8015,2016 Hyundai Grand i10 Asta,6288,2016,1197,Zero Dep,45741,First Owner,Petrol,5,189,Hatchback,Hyderabad,0,1
